Date,MU
2000-01-03,37.03043746948242
2000-01-04,35.597984313964844
2000-01-05,35.47606658935547
2000-01-06,36.08562469482422
2000-01-07,34.378875732421875
2000-01-10,36.26849365234375
2000-01-11,35.2932014465332
2000-01-12,36.08562469482422
2000-01-13,37.975242614746094
2000-01-14,35.71989440917969
2000-01-18,35.872283935546875
2000-01-19,35.171295166015625
2000-01-20,34.01313781738281
2000-01-21,32.733070373535156
2000-01-24,33.89122772216797
2000-01-25,32.12351608276367
2000-01-26,30.9958438873291
2000-01-27,31.574918746948242
2000-01-28,29.014795303344727
2000-01-31,30.32533836364746
2000-02-01,30.96536636352539
2000-02-02,32.12351608276367
2000-02-03,33.15977096557617
2000-02-04,32.85498809814453
2000-02-07,36.08562469482422
2000-02-08,37.09138870239258
2000-02-09,35.71989440917969
2000-02-10,35.2932014465332
2000-02-11,34.68363952636719
2000-02-14,33.03784942626953
2000-02-15,33.647403717041016
2000-02-16,32.27590560913086
2000-02-17,31.818740844726562
2000-02-18,30.78250503540039
2000-02-22,31.45301055908203
2000-02-23,32.672115325927734
2000-02-24,34.19599914550781
2000-02-25,35.90275955200195
2000-02-28,38.06667709350586
2000-02-29,46.81378936767578
2000-03-01,49.61772537231445
2000-03-02,47.545249938964844
2000-03-03,45.59466552734375
2000-03-06,46.81378936767578
2000-03-07,51.202571868896484
2000-03-08,49.25200653076172
2000-03-09,53.64078140258789
2000-03-10,51.873077392578125
2000-03-13,57.54194641113281
2000-03-14,54.37226486206055
2000-03-15,55.103721618652344
2000-03-16,55.28658676147461
2000-03-17,62.84505844116211
2000-03-20,66.13666534423828
2000-03-21,58.151493072509766
2000-03-22,68.75775146484375
2000-03-23,65.64900970458984
2000-03-24,65.70997619628906
2000-03-27,68.02627563476562
2000-03-28,66.5633544921875
2000-03-29,65.58805847167969
2000-03-30,59.00487518310547
2000-03-31,61.44308853149414
2000-04-03,58.51721954345703
2000-04-04,55.987579345703125
2000-04-05,63.88129806518555
2000-04-06,63.82035827636719
2000-04-07,62.601253509521484
2000-04-10,59.30965805053711
2000-04-11,56.871429443359375
2000-04-12,54.067481994628906
2000-04-13,51.93403625488281
2000-04-14,46.84425735473633
2000-04-17,55.59135818481445
2000-04-18,61.68690490722656
2000-04-19,57.054290771484375
2000-04-20,61.07735824584961
2000-04-24,60.16303253173828
2000-04-25,63.33271026611328
2000-04-26,62.784114837646484
2000-04-27,65.8318862915039
2000-04-28,67.9348373413086
2000-05-01,64.24703216552734
2000-05-02,61.199275970458984
